JOBID PARTITION NAME USER STATE TIME TIME_LIMIT NODES NODELIST(REASON) PRIORITY
6633788 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633785 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633784 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA5.hhb-DeepMSA.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633783 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q4JGI5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633782 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q3JGI5_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633781 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q4JGI4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633780 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q3JGI4_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633779 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q4JGI3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633778 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q3JGI3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633777 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q4JGI2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633776 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q3JGI2_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633775 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q4JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633774 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-q3JGI_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633773 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepJGI5.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633772 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepJGI4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633771 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepJGI3.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633770 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepJGI2.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633769 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-DeepJGI.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633768 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA5.hh3_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633767 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA5.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633766 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA5.hhb_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633765 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA4.hms_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
6633764 gpu_mig40,gpu,spgpu AF2COMP-multi-v2-qMSA4.hhb-qMSA4.jac_7nki zhengwei PENDING 0:00 1-00:00:00 1 (None) 1260
